arxiv_id,paper_title,author_name,university,confidence,reasoning,published_date,categories,all_authors,similarity_score
2001.09523v1,"Progressively-Growing AmbientGANs For Learning Stochastic Object Models
  From Imaging Measurements",Test,Unknown,0.0,,2020-01-26T21:33:14Z,"eess.IV, cs.LG, stat.ML",Weimin Zhou; Sayantan Bhadra; Frank J. Brooks; Hua Li; Mark A. Anastasio,0.53730035
2001.09531v1,Using Simulated Data to Generate Images of Climate Change,Test,Unknown,0.0,,2020-01-26T22:19:13Z,"cs.CV, eess.IV",Gautier Cosne; Adrien Juraver; Mélisande Teng; Victor Schmidt; Vahe Vardanyan; Alexandra Luccioni; Yoshua Bengio,0.51356435
2001.09526v1,"Markov-Chain Monte Carlo Approximation of the Ideal Observer using
  Generative Adversarial Networks",Test,Unknown,0.0,,2020-01-26T21:51:08Z,"eess.SP, cs.CV, cs.LG, stat.ML",Weimin Zhou; Mark A. Anastasio,0.49973533
2001.09528v3,"Imperfect ImaGANation: Implications of GANs Exacerbating Biases on
  Facial Data Augmentation and Snapchat Selfie Lenses",Test,Unknown,0.0,,2020-01-26T21:57:26Z,"cs.LG, cs.CV, eess.IV, stat.ML",Niharika Jain; Alberto Olmo; Sailik Sengupta; Lydia Manikonda; Subbarao Kambhampati,0.49929795
2001.09545v1,"aiTPR: Attribute Interaction-Tensor Product Representation for Image
  Caption",Test,Unknown,0.0,,2020-01-27T00:19:41Z,"cs.NE, cs.CV, cs.LG, cs.MM",Chiranjib Sur,0.46910805
2001.10816v1,Multi-task Learning for Speaker Verification and Voice Trigger Detection,Test,Unknown,0.0,,2020-01-26T21:19:27Z,"eess.AS, cs.CL, cs.LG, cs.SD, stat.ML",Siddharth Sigtia; Erik Marchi; Sachin Kajarekar; Devang Naik; John Bridle,0.46694282
2001.09464v1,"Explainable Artificial Intelligence and Machine Learning: A reality
  rooted perspective",Test,Unknown,0.0,,2020-01-26T15:09:45Z,"cs.AI, cs.CV, cs.LG, stat.ML",Frank Emmert-Streib; Olli Yli-Harja; Matthias Dehmer,0.46086076
2001.09540v3,"Weakly Supervised Few-shot Object Segmentation using Co-Attention with
  Visual and Semantic Embeddings",Test,Unknown,0.0,,2020-01-26T23:56:26Z,cs.CV,Mennatullah Siam; Naren Doraiswamy; Boris N. Oreshkin; Hengshuai Yao; Martin Jagersand,0.45765948
2001.09519v2,Multi-task Learning for Voice Trigger Detection,Test,Unknown,0.0,,2020-01-26T21:13:07Z,"eess.AS, cs.CL, cs.LG, cs.SD, stat.ML",Siddharth Sigtia; Pascal Clark; Rob Haynes; Hywel Richards; John Bridle,0.45051396
2001.09485v2,Multimodal Data Fusion based on the Global Workspace Theory,Test,Unknown,0.0,,2020-01-26T16:52:43Z,"cs.LG, stat.ML",Cong Bao; Zafeirios Fountas; Temitayo Olugbade; Nadia Bianchi-Berthouze,0.4446344
2001.09532v3,"Learning the Hypotheses Space from data: Learning Space and U-curve
  Property",Test,Unknown,0.0,,2020-01-26T22:29:33Z,"stat.ML, cs.LG",Diego Marcondes; Adilson Simonis; Junior Barrera,0.44072315
2001.09535v3,"Visualisation of Medical Image Fusion and Translation for Accurate
  Diagnosis of High Grade Gliomas",Test,Unknown,0.0,,2020-01-26T22:49:14Z,cs.CV,Nishant Kumar; Nico Hoffmann; Matthias Kirsch; Stefan Gumhold,0.44061852
